2,132.0;148.0,[ 3.31468051 14.10456032];[ 5.77302159 13.88698576],15;16,6.5;6.5,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,1;14, 16
3,278.0;310.0;550.0,[ 5.95000476 12.99111387];[ 3.67184827 13.93698261];[ 7.20660339 10.90533849],16;15;11,8.5;7.5;8.0,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,7;2;1, 16
3,278.0;310.0;550.0,[ 5.95000476 12.99111387];[ 3.67184827 13.93698261];[ 7.20660339 10.90533849],16;15;11,8.5;7.5;8.0,12,m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4;m4,2.0;12.5;60.5;148.5;196.5;263.5;282.0;421.0;478.0;503.0;504.5;565.0,7;2;1, 16
