Sim_Lon    Sim_Lat    Sim_Timestamp
-80.884012, 31.400451, 1596350550.000009
-80.884093, 31.400411, 1596350580.000007
-80.884093, 31.400411, 1596350580.000007
-80.884093, 31.400411, 1596350610.000005
-80.884254, 31.400332, 1596350640.000004
-80.884334, 31.400293, 1596350670.000002
-80.884415, 31.400253, 1596350700.000000
-80.884496, 31.400213, 1596350729.999998
-80.884578, 31.400174, 1596350759.999996
-80.884659, 31.400134, 1596350789.999995
-80.884741, 31.400094, 1596350819.999993
-80.884823, 31.400055, 1596350849.999991
-80.884904, 31.400015, 1596350879.999989
-80.884987, 31.399976, 1596350909.999988
-80.885069, 31.399936, 1596350939.999986
-80.885151, 31.399897, 1596350969.999984
-80.885234, 31.399857, 1596350999.999982
-80.885316, 31.399818, 1596351029.999980
-80.885399, 31.399778, 1596351060.000019
-80.885482, 31.399739, 1596351090.000017
-80.885565, 31.399699, 1596351120.000015
-80.885648, 31.399660, 1596351150.000013
-80.885732, 31.399620, 1596351180.000012
-80.885815, 31.399581, 1596351210.000010
-80.885899, 31.399541, 1596351240.000008
-80.885983, 31.399502, 1596351270.000006
-80.886066, 31.399463, 1596351300.000005
-80.886150, 31.399423, 1596351330.000003
-80.886235, 31.399384, 1596351360.000001
-80.886319, 31.399345, 1596351389.999999
-80.886403, 31.399305, 1596351419.999997
-80.886488, 31.399266, 1596351449.999995
-80.886573, 31.399227, 1596351479.999994
-80.886657, 31.399188, 1596351509.999992
-80.886742, 31.399148, 1596351539.999990
-80.886827, 31.399109, 1596351569.999988
-80.886912, 31.399070, 1596351599.999987
-80.886998, 31.399031, 1596351629.999985
-80.887083, 31.398992, 1596351659.999983
-80.887168, 31.398953, 1596351689.999981
-80.887254, 31.398914, 1596351720.000020
-80.887340, 31.398875, 1596351750.000018
-80.887425, 31.398836, 1596351780.000016
-80.887511, 31.398797, 1596351810.000014
-80.902573, 31.362723, 1596365699.999991
-80.902563, 31.362743, 1596365729.999989
-80.902563, 31.362743, 1596365729.999989
-80.902563, 31.362743, 1596365759.999988
-80.902542, 31.362785, 1596365789.999986
-80.902531, 31.362805, 1596365819.999984
-80.902520, 31.362826, 1596365849.999982
-80.902508, 31.362847, 1596365879.999980
-80.902496, 31.362869, 1596365910.000019
-80.902483, 31.362890, 1596365940.000017
-80.902470, 31.362911, 1596365970.000015
-80.902457, 31.362933, 1596366000.000013
-80.902443, 31.362955, 1596366030.000012
-80.902429, 31.362976, 1596366060.000010
-80.902415, 31.362998, 1596366090.000008
-80.902400, 31.363020, 1596366120.000006
-80.902385, 31.363043, 1596366150.000005
-80.902369, 31.363065, 1596366180.000003
-80.902353, 31.363087, 1596366210.000001
-80.902337, 31.363110, 1596366239.999999
-80.902320, 31.363133, 1596366269.999997
-80.902303, 31.363155, 1596366299.999995
-80.902286, 31.363178, 1596366329.999994
-80.902268, 31.363201, 1596366359.999992
-80.902250, 31.363225, 1596366389.999990
-80.902231, 31.363248, 1596366419.999988
-80.902213, 31.363271, 1596366449.999987
-80.902193, 31.363295, 1596366479.999985
-80.902174, 31.363318, 1596366509.999983
-80.902154, 31.363342, 1596366539.999981
-80.902133, 31.363366, 1596366570.000020
-80.902113, 31.363390, 1596366600.000018
-80.902092, 31.363414, 1596366630.000016
-80.902070, 31.363439, 1596366660.000014
-80.902048, 31.363463, 1596366690.000012
-80.902026, 31.363487, 1596366720.000011
-80.902004, 31.363512, 1596366750.000009
-80.901981, 31.363537, 1596366780.000007
-80.901958, 31.363561, 1596366810.000005
-80.901934, 31.363586, 1596366840.000004
-80.901910, 31.363611, 1596366870.000002
-80.901886, 31.363637, 1596366900.000000
-80.901861, 31.363662, 1596366929.999998
-80.901836, 31.363687, 1596366959.999996
-80.900058, 31.375266, 1596380850.000013
-80.899995, 31.375275, 1596380880.000012
-80.899995, 31.375275, 1596380880.000012
-80.899995, 31.375275, 1596380910.000010
-80.899871, 31.375294, 1596380940.000008
-80.899809, 31.375303, 1596380970.000006
-80.899748, 31.375312, 1596381000.000005
-80.899687, 31.375321, 1596381030.000003
-80.899626, 31.375329, 1596381060.000001
-80.899565, 31.375338, 1596381089.999999
-80.899505, 31.375346, 1596381119.999997
-80.899445, 31.375354, 1596381149.999995
-80.899385, 31.375362, 1596381179.999994
-80.899325, 31.375370, 1596381209.999992
-80.899266, 31.375378, 1596381239.999990
-80.899207, 31.375385, 1596381269.999988
-80.899148, 31.375392, 1596381299.999987
-80.899090, 31.375400, 1596381329.999985
-80.899031, 31.375407, 1596381359.999983
-80.898973, 31.375413, 1596381389.999981
-80.898916, 31.375420, 1596381420.000020
-80.898858, 31.375427, 1596381450.000018
-80.898801, 31.375433, 1596381480.000016
-80.898744, 31.375439, 1596381510.000014
-80.898687, 31.375445, 1596381540.000012
-80.898631, 31.375451, 1596381570.000011
-80.898575, 31.375457, 1596381600.000009
-80.898519, 31.375463, 1596381630.000007
-80.898464, 31.375468, 1596381660.000005
-80.898409, 31.375473, 1596381690.000004
-80.898354, 31.375478, 1596381720.000002
-80.898299, 31.375483, 1596381750.000000
-80.898245, 31.375488, 1596381779.999998
-80.898191, 31.375493, 1596381809.999996
-80.898137, 31.375497, 1596381839.999995
-80.898083, 31.375502, 1596381869.999993
-80.898030, 31.375506, 1596381899.999991
-80.897977, 31.375510, 1596381929.999989
-80.897924, 31.375513, 1596381959.999988
-80.897872, 31.375517, 1596381989.999986
-80.897820, 31.375521, 1596382019.999984
-80.897768, 31.375524, 1596382049.999982
-80.897717, 31.375527, 1596382079.999980
-80.897666, 31.375530, 1596382110.000019
